,stockname,avg_profit,num_trades,time_frame
0,JPASSOCIAT,4.707986249,3215,5d
1,GMRINFRA,3.100756309,3436,5d
2,SUZLON,6.277076461,3259,5d
3,IBREALEST,89.45385044,2861,5d
4,RELCAPITAL,149.6667306,3593,5d
5,DLF,35.46135304,3624,5d
6,IDFC,2.18110854,1876,5d
7,SOUTHBANK,4.400502837,2617,5d
8,IDFCBANK,1.343512712,540,5d
9,BANKBARODA,11.78812128,2251,5d
10,MANAPPURAM,33.66963951,3355,5d
11,HINDALCO,17.83876964,3407,5d
12,TATASTEEL,56.70983064,3123,5d
13,JINDALSTEL,35.56627189,3624,5d
14,RCOM,3.35773132,1526,5d
15,HDIL,17.72368163,3013,5d
16,L_TFH,33.24809995,3597,5d
17,NMDC,4.529909182,605,5d
18,ADANIPOWER,2.548236815,1173,5d
19,HCC,25.56443004,1457,5d
20,ICICIBANK,18.75003098,3485,5d
21,SUNTV,191.9550892,3439,5d
22,RELINFRA,51.83535396,2024,5d
23,PNB,15.49837239,3159,5d
24,JSWSTEEL,18.77199276,2121,5d
25,APOLLOTYRE,57.40935802,2774,5d
26,MOTHERSUMI,59.74675373,2648,5d
27,RECLTD,35.09447158,3624,5d
28,ONGC,3.064647086,243,5d
29,RPOWER,2.323671309,1808,5d
30,IDEA,22.74176514,1415,5d
31,JSWENERGY,2.724115724,2546,5d
32,IFCI,1.308421715,1512,5d
33,DHFL,111.9289016,3624,5d
34,TV18BRDCST,3.429343312,2048,5d
35,CANBK,40.09887003,3606,5d
36,BANKINDIA,22.79740707,3623,5d
37,ORIENTBANK,23.1734627,3381,5d
38,PFC,13.20936034,1887,5d
39,EXIDEIND,23.31898858,3233,5d
40,NCC,5.731228453,2699,5d
41,KTKBANK,34.53216379,3248,5d
42,BHARATFIN,92.72602394,2316,5d
43,M_MFIN,54.3912782,3379,5d
44,GRASIM,166.1233249,3623,5d
45,NATIONALUM,35.27683093,1840,5d
46,AXISBANK,29.59831146,3455,5d
47,UNIONBANK,13.39033584,2853,5d
48,AUROPHARMA,41.74443388,1062,5d
49,INFIBEAM,587.7792989,2089,5d
50,BEL,39.99313543,793,5d
51,FORTIS,86.53071541,2078,5d
52,ALBK,6.688325139,2509,5d
53,HINDPETRO,31.41767113,2047,5d
54,MRPL,49.78264819,2913,5d
55,TATAPOWER,3.879907069,2336,5d
56,PTC,12.56777905,3624,5d
57,NHPC,1.661696725,2813,5d
58,NTPC,2.657550806,713,5d
59,IOC,36.0580106,3272,5d
60,BPCL,33.49019333,1660,5d
61,INFY,36.14735337,2345,5d
62,RELIANCE,351.8615811,3189,5d
63,DISHTV,11.18171161,1849,5d
64,JUSTDIAL,119.6355614,2450,5d
65,ITC,22.78329645,3589,5d
66,SYNDIBANK,7.115242423,3129,5d
67,TATAMTRDVR,11.761066,252,5d
68,CESC,136.4441324,3624,5d
69,GAIL,45.61728163,776,5d
70,JISLJALEQS,6.853685588,2783,5d
71,COALINDIA,10.94960853,786,5d
72,PCJEWELLER,67.7973258,1905,5d
73,ANDHRABANK,6.88826567,2950,5d
74,CGPOWER,80.90075179,4311,5d
75,POWERGRID,9.021857013,2630,5d
76,GSFC,44.29471003,3290,5d
77,AMBUJACEM,19.47870518,3522,5d
78,ADANIPORTS,45.80516334,3582,5d
79,SREINFRA,40.25697689,3237,5d
80,EQUITAS,78.83777723,2076,5d
81,IRB,18.12914513,2021,5d
82,DCBBANK,51.09457433,3624,5d
83,YESBANK,162.750876,3615,5d
84,TVSMOTOR,107.0235583,3592,5d
85,RDEL,22.82959163,2692,5d
86,KOTAKBANK,144.0918345,3624,5d
87,SRTRANSFIN,53.02135813,3205,5d
88,UJJIVAN,193.890049,2125,5d
89,PETRONET,40.53587279,2669,5d
90,BALRAMCHIN,50.26932412,3317,5d
91,BHARTIARTL,35.01276491,3544,5d
92,HDFCBANK,267.0696495,2718,5d
